b_Regneville,Regnéville
b_altenberg,Altenberg
b_altenburg,Altenburg
b_altenburg_krain,Altenburg
b_altenkirchen,Altenkirchen
b_altit,Altit
b_altkirch,Altkirch
b_altopascio,Altopascio
b_altrapperswill,Alt-Rapperswill
b_alubulla,Al-Ubulla
b_aluksne,Marienburg
b_alusheir,Al-Usheir
b_alushta,Álouston
b_alvaiazere,Alvaiázere
b_alvensleben,Alvensleben
b_alviano,Alviano
b_alvito,Alvito
b_alvito_beja,Alvito
b_alwa,Alwa
b_alwajh,Al-Wajh
b_alwuayra,Al-Wu'ayra
b_alytus,Alytus
b_alzabadani,Al-Zabadani
b_alzey,Alzey
b_amadiyah,Imádiyya
b_amalfi,Amalfi
b_amarante,Amarante
b_amaras,Amaras
b_amaseia,Amaseia
b_amastris,Amastris
b_ambassel,Ambassel
b_amberd,Amberd
b_amberg,Amberg
b_ambronay,Ambronay
b_amcaka,Amcaka
b_amersfoort,Amersfoort
b_amersham,Amersham
b_amfissa,Salona
b_amiountripoli,Amioun
b_amisos,Amisos
b_amol,Ámúya
b_amorion,Amorion
b_amposta,Amposta
b_ampthill,Ampthill
b_amr,Jámi' 'Amr
b_amrah,Qasr Amra
b_amras,Amras
b_amsterdam,Amsterdam
b_amul,Ámol
b_anagni,Anagni
b_anaklia,Anaklia
b_anakopia,Anakopia
b_anapa,Chantchir
b_anastasiopolis,Lagania
b_anatoliaheraklea,Herakleia Kybistra
b_anauyar,Anauyar
b_anazarba,Anazarbos
b_anbar,Anbár
b_anbar_iraq,Al-Anbar
b_ancona,Ancona
b_andechs,Andechs
b_andenne,Andenne
b_anderab,Anderáb
b_andernach,Andernach
b_andicharagh,Andíchárágh
b_andijan,Andíján
b_andjira,Anjíra
b_andkhud,Andkhúd
b_andlau,Andlau
b_andover,Andover
b_andrapa,Andrapa
b_andravida,Andravida
b_andria,Andria
b_androusa,Androusa
b_andujar,Andújar
b_anemurium,Anemoúrion
b_angarano,Angarano
b_angelokastro,Angelokastro
b_angelokastron,Angelokastron
b_angelokomis,Angelokomis
b_angera,Angera
b_angerja,Angern
b_angersburg,Angirburg
b_anguiano,Anguiano
b_anguillara,Anguillara
b_anhalt,Anhalt
b_anholt,Anholt
b_ani,Ani
b_aniba,Aniba
b_anka,Anka
b_anklam,Anklam
b_ankyra,Ankyra
b_annabah,Annába
b_annagassan,Annagassan
b_annan,Annan
b_annecy,Annecy
b_annil,an-Nil
b_annonay,Annonay
b_annweiler,Annweiler
b_anras,Anras
b_ansbach,Ansbach
b_ansina,Ansiní
b_anso,Ansó
b_antandros,Antandros
b_antequera,Antequera
b_antibes,Antibes
b_anticoli,Anticoli
b_antiocheia,Antiócheia
b_antiochiamikra,Antiócheia
b_antonievmonestary,Antoniev
b_antsokia,Antsokia
b_antvorskov,Andworhscogh
b_antwerpen,Antwerpen
b_anyksciai,Anykšciai
b_aosta,Aosta
b_aoudaghost,Awdaghust
b_apamea,Apameia
b_apchier,Apchier
b_apole,Ampillen
b_apollonia,Apollonia
b_appleby,Appleby
b_apremont,Apremont
b_apt,Apt
b_aqkol,Aqkol
b_aqmescit,Aqmescit
b_aqra,Aqra
b_aqsu,Aqsu
b_aquileia,Aquileia
b_aquino,Aquino
b_aqusha,Shandan
b_ar-rafiqa,ar-Ráfiqa
b_araban,Araban
b_arabissos,Arabissos
b_arabrakes,Arabrakes
b_arabsaki,Arabšakî
b_arad,Arad
b_arakelots,Surp Arakelots
b_arakul,Arakul
b_aralsulfat,Aralsulfat
b_arandadeduero,Aranda de Duero
b_araouane,Arawán
b_aratane,Aratane
b_arauraka,Arauraka
b_arbagi,Arbagi
b_arbil,Arbil
b_arbinjan,Arbinjan
b_arbit,Arbit
b_arbuga,Arbuga
b_archa,Archis
b_archangelsk,Arkhangelsk Micheal
b_archar,Arcar
b_archelais,Arkhelais
b_arco,Arco
b_arcos,Arcos
b_arcosdevaldevez,Arcos de Valdevez
b_ardabil,Ardabil
b_ardakhushmithan,Ardakhushmíthán
b_ardara,Ardara
b_ardchattan,Ardchattan
b_ardistan,Ardestán
b_ardrahan,Ardrahan
b_arenberg,Arenberg
b_areni,Areni
b_areshi,Areshi
b_arevalo,Arévalo
b_arezzo,Arezzo
b_arganil,Arganil
b_argenta,Argenta
b_argos,Argos
b_argungu,Argungu
b_ariana,Ariana
b_ariano,Ariano
b_ariaramneia,Rhodandos
b_ariaratheia,Ariaratheia
b_arigh,Arígh
b_ariogala,Ariuogala
b_arjona,Arjona
b_arkadia,Arkadia
b_arkadiopolis,Arkadioupolis
b_arkas,Arkas
b_arkhyz,Arkhyz
b_arklow,Arklow
b_arkni,Arkni
b_arkona,Arkona
b_arlay,Arlay
b_arles,Arles
b_arlon,Arlon
b_armabil,Armabíl
b_armant,Armant
b_armavir,Armawir
b_armaxa,Armaxa
b_armena,Armena
b_armilla,Armilla
b_arminna,Arminna
b_arnay,Arnay
b_arneasborg,Aranæs
b_arnedo,Arnedo
b_arnhem,Arnhem
b_arnsberg,Arnsberg
b_arnstein,Arnstein
b_arnswalde,Arnswalde
b_arona,Arona
b_arquescarcassone,Arcas
b_arraiolos,Arraiolos
b_arrajan,Arráján
b_arramal,Al-Ramal
b_arrigorriaga,Arrigorriaga
b_arrochar,Arrochar
b_arrushafa,Ar-Rushafa
b_arshamasat,Aršamašat
b_arshatu,Arhsatu
b_arshgul,Arshgúl
b_arsinoecyprus,Arsinoe
b_arsk,Archa
b_arsuf,Arsour
b_arta,Arta
b_artaani,Artaani
b_artake,Artake
b_artamed,Artamet
b_artanuji,Artanuji
b_artashat,Artašat
b_artasium,Artasium
b_arteaga,Arteaga
b_artske,Artske
b_artsn,Artsn
b_artsnanik,Artsnanik
b_artux,Artuj
b_artvini,Artvini
b_artzesion,Arceš
b_arundel,Arundel
b_arus-al-falak,Arús al-Falak
b_arva,Árva
b_arzakiya,Arzakíya
b_arzan,Ardzen
b_asadabad,Asadabád
b_asadabad_arghiyan,Asadábád
b_asch,Asch
b_aschaffenburg,Aschaffenburg
b_aschersleben,Aschersleben
b_asciano,Asciano
b_ascoli,Ascoli
b_ascoli_piceno,Ascoli Piceno
b_asenscastle,Petrich
b_asenscastle_petrich,Petrich
b_asfanjay,Asfanjáy
b_ashby_de_la_zouch,Ashby
b_ashli,Ashli
b_ashridge_priory,Ashridge
b_asht,Khásht
b_ashtarak,Ashtarak
b_asilah,Asíla
b_ask,Askr
b_askar-mukram,Askar-Mukram
b_asklepios,Asklepios
b_asmena,Ašmena
b_asmiany,Losk
b_asnelles,Asnelles
b_asni,Asni
b_asola,Asola
b_aspa,Aspaey
b_aspendos,Aspendos
b_aspet,Aspèth
b_aspona,Aspona
b_assab,Assab
b_assale,Assale
b_assaliq,as-Saliq
b_asseburg,Asseburg
b_assenede,Assenede
b_assens,Asnæs
b_assisi,Assisi
b_astarabad,Astarabad
b_asti,Asti
b_astorga,Astorga
b_astrakhan,Xacitarxan
b_astryna,Astryna
b_astudillo,Astudillo
b_astura,Astura
b_aswan,Aswán
b_asyut,Asyút
b_atbara,Atbara
b_atbash,Atbash
b_ateni,Ateni
b_ath,Ath
b_ath_taqab,Ath Thaqab
b_athenry,Athenry
b_athens,Athenai
b_athlith,Pèlerin
b_atienza,Aitenza
b_atil,Itil
b_atina,Athina
b_atkarsk,Atkara
b_atrar,Atrar
b_atri,Atri
b_atskuri,Atskuri
b_attaleia,Attaleia
b_attemis,Attemis
b_attignyardennes,Attigny
b_attinghausen,Attinghausen
b_attiri,Al-Tiri
b_atyrau,Atyrau
b_aubenas,Aubenas
b_aubonne,Aubonne
b_auchterarder,Auchterarder
b_auchyleshesdin,Auchy
b_auckland,Auckland
b_audunborg,Audanborg
b_auersperg,Auersperg
b_augsburg,Augsburg
b_augustow,Augustavas
b_aumelas,Aumelaç
b_auneau,Auneau
b_auray,Auray
b_auriacleglise,Auriac
b_auriate,Auriate
b_aurich,Aurich
b_aurignac,Aurinhac
b_aurillac,Orlhac
b_aurland,Aurland
b_austraat,Austrátt
b_autelbas,Autelbas
b_authon,Authon
b_autun,Autun
b_autzem,Autzem
b_auvergnepleaux,Pleaux
b_auxilechateau,Auxi-le-Château
b_avaldsnes,Aagvaldnes
b_avallon,Avallon
b_aveiro,Aveiro
b_avellino,Avellino
b_avenches,Avenches
b_averbode,Averbode
b_aversa,Aversa
b_avesnes,Avesnes
b_avezzano,Avezzano
b_avigliano,Avigliano
b_avignon,Avignon
b_avila,Ávila
b_aviles,Avilés
b_avis,Avis
b_awal,Awal
b_awana,Awána
b_awjila,Awjíla
b_awkar,Awkar
b_awlil,Awlíl
b_ayaguz,Ayaguz
b_aydhab,Aydhab
b_ayent,Ayent
b_ayerbe,Ayerbe
b_aylesbury,Aylesbury
b_aynjalut,Ayn Jalut
b_azadvar,Ázádvar
b_azambuja,Azambuja
b_azawa,Ain Azawa
b_azinhoso,Azinhoso
b_azov,Azaq
b_azraq,Azraq
b_azuaga,Azuaga
b_azuggi,Azúkkí
b_baalshamin,Baalshamin
b_baban,Baban
b_babayevo,Babayevo
b_babenberg,Babenberg
b_babite,Babite
b_babocsa,Babócsa
b_bacau,Bacau
b_bachkovo,Bachkovo
b_bacs,Bács
b_badadoun,Bdadoun
b_badajoz,Badajoz
b_badakhshan,Badakhshán
b_baden,Baden
b_badenweiler,Badenweiler
b_badhash,Badhash
b_badi,Bádi
b_badis,Bádís
b_baena,Baena
b_baeza,Baeza
b_bafq,Báfq
b_baft,Báft
b_bagaran,Bagaran
b_bagawan,Bagawan
b_baghaberd,Baghaberd
b_baghaya,Bágháya
b_baghnahuamh,Rum
b_baghnin,Baghnín
b_baghras,Gastun
b_baghshur,Baghshúr
b_bagirmi,Bagirmi
b_bagnacavallo,Bagnacavallo
b_bagnols,Banhòus
b_bagras,Pagrai
b_bahar,Bahár
b_bahirdar,Bahri Dar
b_bahla,Bahla
b_bahnasa,Al-Bahnasá
b_bahriya,Al-Báhriya
b_baiadaarma,Baia de Arma
b_bailen,Bailén
b_baiso,Baiso
b_bajahungary,Baja
b_bajmoc,Basjmóc
b_bakabanya,Bakabánya
b_bakar_modrus,Bukar
b_bakel,Bakel
b_bakewell,Bakewell
b_bakhmut,Bakhmut
b_bakonybel,Bakonybél
b_bakota_ponyzzia,Bakota
b_bakrabad,Bakrábád
b_bal,Bal
b_baladmosul,Balad
b_balaguer,Balaguer
b_balakhna,Sol-na-Gorodtse
b_balaklava,Yamboli
b_balanjar,Belenjer
b_balasaghun,Balasaghun
b_balassagyarmat,Balassagyarmat
b_balatanos,Balatanos
b_bale,Bale
b_balga,Balga
b_balikan,Balíkán
b_balimer,Balimer
b_balin,Balin
b_balingen,Balingen
b_balissyria,Balis
b_baljiman,Baljiman
b_balkh,Balkh
b_ballagzentmiklos,Ballagzentmiklós
b_ballinasloe,Ballinasloe
b_ballymote,Ballymote
b_balninkai,Balninkai
b_balqash,Balqash
b_bals,Bals
b_balstauppland,Bardestum
b_baltaolivia,Balta
b_baltimoldavia,Balti
b_baltit,Baltit
b_balvanyosvar,Bálványosvár
b_bam,Bam
b_bamako,Bamako
b_bamberg,Bamberg
b_bambuk,Bambuk
b_bamburgh,Bamburgh
b_bamiyan,Bámiyán
b_bampur,Bampúr
b_banbury,Banbury
b_bandanijin,Bandanijin
b_bandiagara,Bandiagara
b_banff,Banff
b_bangor,Bangor
b_bangor_wales,Bangor
b_banha,Banhá
b_baniwaled,Baní Walíd
b_banyas,Belinas
b_banyuls,Banyuls
b_banz,Banz
b_baone,Baone
b_bar,Bar
b_baradan,Baradan
b_barakdiz,Barakdiz
b_baramun,Baramun
b_barata,Barata
b_barategin,Barátegín
b_barazarruz,Baraz-ar-Ruz
b_barbaron,Barbaron
b_barbastro,Barbastro
b_barbato,Barbato
b_barbazan,Barbasan
b_barberino,Barberino
b_barbiano,Barbiano
b_barby,Barby
b_barca,Barqa
b_barcelona,Barcelona
b_barcelonette,Barcelonette
b_barcelos,Barcelos
b_barchkent,Barchkent
b_barda,Barda'ah
b_bardewik,Bardewik
b_bardi,Bardi
b_bardia,Bardíya
b_bardij,Bardij
b_bardney,Bardney
b_bardowick,Bardowick
b_bardzberd,Bardzberd
b_bardzerberi,Bardzerberi
b_bargy,Bargy
b_bari,Bari
b_barimma,Barimma
b_barinsyria,Barin
b_bariq,Bariq
b_baris,Baris
b_baris_buhairya,Baris
b_barisa,Barísá
b_barladmoldavia,Bârlad
b_barleduc,Bar-le-Duc
b_barletta,Barletta
b_barmstedt,Barmstedt
b_barnwell,Barnwell
b_barousse,Varossa
b_barqaid,Barqa'id
b_barrancos,Barrancos
b_barrax,Barrax
b_barskhan,Barskhan
b_barsvar,Barsvár
b_bartenstein,Bartenstein
b_barth,Barth
b_barwalde,Bärwalde
b_barysh,Baryš
b_baryshivska,Baruc
b_barzand,Barzand
b_barzanissa,Barzanissa
b_bas,Bas
b_basand,Básand
b_basean,Basean
b_basel,Basel
b_basghurfand,Basghúrfand
b_bashin,Bashín
b_basilika_therma,Basilike Therma
b_basilinopolis,Basilinopolis
b_basingstoke,Basingstoke
b_baska,Baška
b_basra,Basra
b_bassano,Bassano
b_basta,Basta
b_bastia_cardo,Cardo
b_bastogne,Bastogne
b_bata,Sogucak
b_batalha,Batalha
b_bath,Bath
b_bati,Bati
b_bati_kaba,Bati
b_batna,Batna
b_batorkeszi,Bátorkeszi
b_batum,Batumi
b_bauge,Baugé
b_baume,Baume
b_bauska,Bauske
b_bautzen,Bautzen
b_baux,Baux
b_bavay,Bavay
b_bawazij,Bawazij
b_bawit,Bawít
b_bayan,Bayan
b_bayda,Baydá
b_bayda_shiraz,Bayda
b_baydabenghazi,Baydá
b_baydbert,Baydbert
b_bayerburg,Raudoné
b_bayhaq,Bayhaq
b_baylakan,Baylakan
b_baynardscastle,Baynard
b_bayreuth,Bayreuth
b_baza,Baza
b_bazas,Vasats
b_bazin,Bazin
b_beaconsfield,Beaconsfield
b_beaumont_hainaut,Beaumont
b_beaumontlerichard,Château de Beaumont-le-Richard
b_beaune,Beaune
b_beauvais,Beauvais
b_beaymaris,Beaumaris
b_bechar,Béchar
b_becko,Beckó
b_bedale,Bedale
b_bedburg,Bedburg
b_bederkesa,Bedereksa
b_bedford,Bedford
b_bedrabine,Bedrabine
b_beeston,Beeston
b_begarawiyah,Begawawiya
b_begemdir,Begemdir
b_behetselin,Behetselin
b_beichlingen,Beichlingen
b_beirut,Beyrouth
b_beitdejan,Casal Moein
b_beitkfeya,Bhersaf
b_beja,Beja
b_bejaija,Bijáya
b_bejar,Béjar
b_bekesvar,Békésvar
b_bekhaila,Bekhaila
b_belapatfalva,Belapátfalva
b_belcastel,Bèl Castèl
b_belchamp,Belchamp
b_belecgrad,Belecgrad
b_beledugu,Beledugu
b_belfast,Belfast
b_belgard,Belgard
b_belgorod_vorskla,Belgorod
b_belgrade,Belgrad
b_belhungary,Bél
b_bell_lloch,Bell Lloch
b_belle,Belle
b_bellelay,Bellelay
b_belleme,Bellême
b_belley,Belley
b_bellin_werle,Bellin
b_bellinzona,Bellinzona
b_belluno,Belluno
b_belmonte,Belmonte
b_belogradchik,Belogradchik
b_belomorsk,Soroka
b_belozersk,Belozersk
b_belvoir,Belvoir
b_belvoir_comte,Belvoir
b_belvoir_leicester,Belvoir
b_belyov,Belëv
b_belyy,Belaya
b_belz,Belz
b_belzig,Belzig
b_benabarre,Benabarre
b_benaket,Benáket
b_benalmadena,Benalmádena
b_benasque,Benasque
b_benavente,Benavente de Lemos
b_benavente_setubal,Benavente
b_benevento,Benevento
b_benghazi,Benghází
b_beni_isguen,Beni Isgen
b_benissa,Benisa
b_benitajjit,Beni Tajjit
b_bentheim,Bentheim
b_berakit,Berakit
b_berane,Budimlja
b_berat,Bellegrada
b_berber,Berber
b_berceto,Berceto
b_berchtesgaden,Berchtesgaden
b_berdychiv,Boskiy
b_berestovocchurchquarter,Berestovo
b_beresty,Berestye
b_berezan,Berezan
b_berezino,Berezino
b_berezoveckholmsky,Berezovec
b_berg,Berg
b_bergamo,Bergamo
b_berge,Berge
b_bergen,Biorgvín
b_bergen_auf_rugen,Bergen
b_bergenhus,Hákonarhella
b_bergenopzoom,Bergenopzoom
b_bergh,Bergh
b_bergheim,Bergheimr
b_berja,Berja
b_berkane,Berkane
b_berkasovo,Berkasovo
b_berkhamsted,Berkhamsted
b_berkri,Berkri
b_berle,Berðla
b_berlin,Berlin
b_bern,Bern
b_bernburg,Bernburg
b_beroe,Boruj
b_berre,Berre
b_bertholene,Bertolena
b_bertinoro,Bertinoro
b_berwick,Berwick
b_berzaune,Bersohn
b_berzence,Berzence
b_berzniki,Berznykas
b_besalu,Besalú
b_besancon,Besançon
b_besenyo,Besenyó
b_besmedin,Besmedin
b_bessungen,Bessungen
b_besztercebanya,Besztercebánya
b_betanzos,Betanzos
b_bethlehem,Bethleem
b_bethsan,Bethsan
b_beuren,Beuren
b_beveren,Bevern
b_beverina,Beverin
b_bevilacuqa,Bevilacuqa
b_bewcastle,Bewcastle
b_beynes,Beynes
b_bezda,Bezda
b_bezdezh,Bezdezh
b_bezhetsk,Bezhichi
b_beziers,Besièrs
b_biala_rawska,Biala
b_bialapodlaska,Biala
b_biandrate,Biandrate
b_bianello,Bianello
b_bibbiano,Bibbiano
b_biberach,Biberach
b_bibra,Bibra
b_bichri,ar-Rahba
b_bickenbach,Bickenbach
b_biechowo,Biechowo
b_biecz,Biecz
b_biel,Biel
b_bielheim,Bielheim
b_bielsk,Bel'sk
b_bigou,Bigou
b_bih,Bih
b_bihabad,Bihábád
b_bihac,Bihac
b_bihar,Bihar
b_bilanga,Bilanga
b_bilbao,Bilbao
b_bilbays,Bilbays
b_bileca,Bilechia
b_bilekomis,Bilekomis
b_bilina,Bilina
b_bilizma,Billizma
b_bilma,Bilma
b_bilohorodka,Belgorod-Kievskiy
b_bilstein,Bilstein
b_bilyar,Bilär
b_bimand,Bímand
b_bingen,Bingen
b_binket,Binket
b_binklabin,Binklabín
b_bint,Bint
b_biograd_na_moru,Belgrad
b_bioski,Bijela
b_birjand,Bírjand
b_birmallaha,Bir Mallaha
b_birmingham,Birmingham
b_birnin-kebbi,Birnin Kebbi
b_birnin-yawuri,Birnin Yawuri
b_birshalatayn,Bir Shalatayn
b_birstonas,Birstonas
b_biru,Bíru
b_birumgrein,Bír um-Grein
b_birzai,Biržai
b_birzebbuga,Birzebbuga
b_biserno,Biserno
b_bishlang,Bishlang
b_bishop_stortford,Stortford
b_biskra,Biskra
b_biskup,Biskup
b_biskupiec,Bischofsburg
b_bissano,Bissano
b_bissingen,Bissingen
